Ano,SEXO,Consultor_2,Trabajo
2005,M,NO,No trabajó en consultoria
2005,F,NO,No trabajó en consultoria
2005,M,NO,No trabajó en consultoria
2005,M,NO,No trabajó en consultoria
2005,M,NO,No trabajó en consultoria
2005,M,NO,No trabajó en consultoria
2005,M,NO,No trabajó en consultoria
2005,M,NO,No trabajó en consultoria
2005,M,NO,No trabajó en consultoria
2005,F,NO,No trabajó en consultoria
2005,F,NO,No trabajó en consultoria
2005,M,NO,No trabajó en consultoria
2005,F,NO,No trabajó en consultoria
2005,M,NO,No trabajó en consultoria
2005,M,NO,No trabajó en consultoria
2005,M,NO,No trabajó en consultoria
2005,M,NO,No trabajó en consultoria
2005,M,NO,No trabajó en consultoria
2005,M,NO,No trabajó en consultoria
2005,F,Gestión de Riesgos,Trabajó en Consultoria
2006,F,NO,No trabajó en consultoria
2006,F,NO,No trabajó en consultoria
2006,M,Procesos,Trabajó en Consultoria
2006,M,NO,No trabajó en consultoria
2006,F,NO,No trabajó en consultoria
2006,M,NO,No trabajó en consultoria
2006,F,NO,No trabajó en consultoria
2006,F,NO,No trabajó en consultoria
2006,M,NO,No trabajó en consultoria
2006,M,NO,No trabajó en consultoria
2006,F,NO,No trabajó en consultoria
2006,F,NO,No trabajó en consultoria
2006,F,NO,No trabajó en consultoria
2006,F,NO,No trabajó en consultoria
2007,M,NO,No trabajó en consultoria
2007,M,NO,No trabajó en consultoria
2007,M,NO,No trabajó en consultoria
2007,M,NO,No trabajó en consultoria
2007,F,NO,No trabajó en consultoria
2007,M,NO,No trabajó en consultoria
2007,M,NO,No trabajó en consultoria
2007,M,NO,No trabajó en consultoria
2007,F,NO,No trabajó en consultoria
2007,M,NO,No trabajó en consultoria
2007,M,NO,No trabajó en consultoria
2007,M,NO,No trabajó en consultoria
2007,M,NO,No trabajó en consultoria
2007,M,NO,No trabajó en consultoria
2007,F,NO,No trabajó en consultoria
2007,M,NO,No trabajó en consultoria
2007,M,NO,No trabajó en consultoria
2007,M,NO,No trabajó en consultoria
2008,M,NO,No trabajó en consultoria
2009,F,NO,No trabajó en consultoria
1999,M,NO,No trabajó en consultoria
2003,M,NO,No trabajó en consultoria
2006,M,NO,No trabajó en consultoria
2006,M,NO,No trabajó en consultoria
2001,M,NO,No trabajó en consultoria
2004,F,NO,No trabajó en consultoria
2004,M,NO,No trabajó en consultoria
2004,M,NO,No trabajó en consultoria
2001,F,NO,No trabajó en consultoria
1999,M,NO,No trabajó en consultoria
2001,M,NO,No trabajó en consultoria
2002,M,NO,No trabajó en consultoria
2000,F,NO,No trabajó en consultoria
2004,M,NO,No trabajó en consultoria
2004,M,Finanzas Públicas,Trabajó en Consultoria
2000,M,Seguridad y Salud en el Trabajo,Trabajó en Consultoria
1998,M,NO,No trabajó en consultoria
2006,F,NO,No trabajó en consultoria
2005,M,NO,No trabajó en consultoria
